ID,term,country,actRating,affRating,emoRating,negRating,concern,EPI,CRI,GDP
11,change,NZL,,-1.904170859,-1.943842245,-1.499242204,,0.953581617,-0.554706701,-0.319563066
11,crisis,NZL,-0.323960241,-1.904170859,-1.943842245,-1.499242204,,0.953581617,-0.554706701,-0.319563066
11,crisis,PAN,-0.323960241,-1.904170859,-0.314592125,-1.499242204,1.250104998,-0.646723555,0.388832899,-0.367509884
11,crisis,SLV,-0.323960241,-1.904170859,-1.943842245,-1.499242204,1.236099034,-0.926776961,-0.831261411,-0.378761192
11,warming,SLV,,-1.904170859,-1.943842245,-1.499242204,1.236099034,-0.926776961,-0.831261411,-0.378761192
11,change,UAE,-0.323960241,-1.904170859,-0.314592125,-1.499242204,,-0.093284683,1.692456743,-0.250597315
12,change,ARG,1.186512114,1.294436134,1.314657995,1.542036318,1.167136704,-0.319994583,-0.706123533,-0.209908982
12,crisis,ARG,1.186512114,1.294436134,1.314657995,1.542036318,1.167136704,-0.319994583,-0.706123533,-0.209908982
12,warming,ARG,1.035464879,1.294436134,1.314657995,1.207495681,1.167136704,-0.319994583,-0.706123533,-0.209908982
12,crisis,BEL,0.884417643,0.494784386,1.184317986,0.994606184,-0.468577632,1.086940381,0.341906195,-0.209474688
12,crisis,CHL,1.186512114,1.134505785,1.314657995,1.268321251,1.364871105,-0.113288498,0.321258445,-0.291452218
12,warming,EST,0.793789302,0.846631155,1.282072993,1.542036318,-1.503047163,0.553505324,0.613142545,-0.377656854
12,emergency,GER,0.975045984,0.526770456,0.467447933,-1.468829419,-1.44420561,1.346989972,-1.785437731,0.911242701
12,warming,GRC,1.186512114,1.294436134,1.314657995,1.542036318,1.350191123,0.806886976,-1.477598551,-0.317617774
12,crisis,HRV,1.186512114,1.294436134,1.314657995,1.542036318,,0.406810683,1.170944636,-0.368623029
12,change,IDN,0.733370408,0.814645085,1.314657995,0.812129473,0.34672202,-1.280177686,-0.085439659,-0.023366808
12,emergency,IDN,1.186512114,0.590742596,1.053977976,1.025018969,0.34672202,-1.280177686,-0.085439659,-0.023366808
12,crisis,KAZ,0.975045984,1.038547575,1.314657995,1.359559607,-2.031208801,-0.820089949,0.863418301,-0.316154577
