ID,term,country,actRating,emoRating,epi,GDP,perception,CRI
10,emergency,COL,0.583185324,0.598375117,0.251188828,-0.260547788,1.381095431,61
10,emergency,IRL,0.76405151,0.50089726,-1.08396181,-0.250918972,-1.129520686,76.5
10,emergency,ITA,0.251597315,0.403419403,-0.963194416,0.302146611,0.994546819,33.67
10,emergency,PAN,0.733907146,0.208463689,0.62690961,-0.352020103,1.235441951,83.33
10,emergency,PHL,1.03535079,0.598375117,1.224037282,-0.234959782,0.568283546,11.17
10,emergency,UKR,0.673618417,0.695852974,0.479305017,-0.32395884,-1.489938174,105.33
10,warming,KOR,0.733907146,0.663360355,-0.66127593,0.203223956,0.303474683,76.5
10,warming,NLD,0.131019857,0.468404641,-1.251694302,-0.068996237,-1.26911567,67.17
11,change,BRA,-0.321145609,-0.311418214,0.365246922,0.220831858,1.326307839,82.83
11,change,FRA,-0.019701965,-0.343910833,-1.567031387,0.551571927,-0.24365997,46.17
11,change,HKG,-0.321145609,-1.936049163,NA,-0.251383974,NA,
11,change,IDN,-0.321145609,-0.311418214,1.26429308,-0.008623615,0.322566161,68.17
11,change,KAZ,-0.321145609,-1.936049163,0.801351402,-0.300776207,-2.080352124,98.5
11,change,NZL,NA,-1.936049163,-0.983322315,-0.304177302,NA,53.17
11,change,UAE,-0.321145609,-0.311418214,0.070037736,-0.235361166,NA,125
11,crisis,GER,NA,-1.936049163,NA,NA,NA,13.83
11,crisis,GTM,0.131019857,-0.311418214,1.666851061,-0.346338323,0.72332724,77.33
11,crisis,HRV,-0.230712516,-1.936049163,-0.43315974,-0.353130834,NA,108.33
11,crisis,NZL,-0.321145609,-1.936049163,-0.983322315,-0.304177302,NA,53.17
11,crisis,PAN,-0.321145609,-0.311418214,0.62690961,-0.352020103,1.235441951,83.33
11,crisis,SLV,-0.321145609,-1.936049163,0.908700197,-0.363247003,1.221288812,44.33
11,emergency,EST,-0.200568151,-1.936049163,-0.580764334,-0.362145061,-1.546640526,90.5
11,emergency,GEO,-0.321145609,-1.936049163,1.029467591,-0.366669559,-0.43814852,97.83
11,emergency,GER,NA,-1.936049163,NA,NA,NA,13.83
11,emergency,KAZ,-1.82836383,-1.936049163,0.801351402,-0.300776207,-2.080352124,98.5
11,warming,BGR,-0.321145609,-0.343910833,-0.02389246,-0.351551026,NA,101
11,warming,MYS,-0.079990694,-0.311418214,0.586653812,-0.228958894,-1.179360999,84.83
11,warming,SLV,NA,-1.936049163,0.908700197,-0.363247003,1.221288812,44.33
12,change,ARG,1.186072612,1.313212734,0.298153925,-0.194761102,1.151601821,48.33
12,change,IDN,0.733907146,1.313212734,1.26429308,-0.008623615,0.322566161,68.17
12,change,LBN,1.186072612,1.313212734,0.754386304,-0.359980212,0.210767826,67.17
12,change,NLD,1.186072612,1.313212734,-1.251694302,-0.068996237,-1.26911567,67.17
12,change,TUR,1.186072612,1.313212734,0.942246695,-0.104996721,0.788902636,79.17
12,change,TWN,1.095639519,1.020779163,-0.037311059,-0.149974434,NA,72.33
12,change,ZAF,1.186072612,1.053271782,0.908700197,-0.246744849,-1.459532671,53.33
12,crisis,ARG,1.186072612,1.313212734,0.298153925,-0.194761102,1.151601821,48.33
12,crisis,BEL,0.884628968,1.183242258,-1.117508308,-0.19432775,-0.501300717,81.83
12,crisis,CHL,1.186072612,1.313212734,0.090165635,-0.276127437,1.351414029,81.17
12,crisis,HRV,1.186072612,1.313212734,-0.43315974,-0.353130834,NA,108.33
12,crisis,KAZ,0.975062061,1.313212734,0.801351402,-0.300776207,-2.080352124,98.5
12,crisis,SVN,0.703762781,1.020779163,-1.030287412,-0.354937857,NA,57.83
12,crisis,UAE,1.186072612,1.313212734,0.070037736,-0.235361166,NA,125
12,emergency,GER,0.975062061,0.468404641,NA,NA,NA,13.83
12,emergency,IDN,1.186072612,1.053271782,1.26429308,-0.008623615,0.322566161,68.17
12,emergency,VEN,0.733907146,0.760838212,0.425630619,-0.334527147,1.521226505,104.17
12,warming,ARG,1.03535079,1.313212734,0.298153925,-0.194761102,1.151601821,48.33
12,warming,EST,0.794195875,1.280720115,-0.580764334,-0.362145061,-1.546640526,90.5
12,warming,GRC,1.186072612,1.313212734,-0.835717722,-0.30223623,1.336579789,23.67
13,change,BRA,1.155928248,-1.676108211,0.365246922,0.220831858,1.326307839,82.83
13,change,FIN,1.186072612,-1.871063925,-1.493229091,-0.282471695,-0.900321275,125
13,change,GER,-1.466631457,-1.871063925,NA,NA,NA,13.83
13,change,GRC,-1.28576527,-1.838571306,-0.835717722,-0.30223623,1.336579789,23.67
13,change,LUX,1.186072612,-1.806078687,-1.72134528,-0.347457715,-0.699120088,84.33
13,change,MEX,-1.677642008,-1.806078687,0.271316727,0.06554163,1.178730473,37.67
13,crisis,AUS,1.186072612,-1.70860083,-1.224857103,0.113113531,-0.077961842,49.5
13,crisis,AZR,1.155928248,-1.936049163,0.680584008,-0.350154621,NA,125
13,crisis,BRA,1.155928248,-1.838571306,0.365246922,0.220831858,1.326307839,82.83
13,crisis,FRA,1.186072612,-1.676108211,-1.567031387,0.551571927,-0.24365997,46.17
13,crisis,IDN,-0.592444889,-1.838571306,1.26429308,-0.008623615,0.322566161,68.17
13,crisis,NLD,0.76405151,-1.70860083,-1.251694302,-0.068996237,-1.26911567,67.17
13,emergency,AUS,1.186072612,-1.513645116,-1.224857103,0.113113531,-0.077961842,49.5
13,emergency,CHL,1.186072612,-1.871063925,0.090165635,-0.276127437,1.351414029,81.17
13,emergency,LUX,1.186072612,-1.871063925,-1.72134528,-0.347457715,-0.699120088,84.33
13,emergency,MDA,1.186072612,-1.838571306,0.821479301,-0.369411679,0.719028058,125
13,emergency,VNM,1.186072612,-1.936049163,1.559502266,-0.271747177,-0.880034541,26.17
13,warming,IRL,1.186072612,-1.513645116,-1.08396181,-0.250918972,-1.129520686,76.5
13,warming,ISL,1.125783883,-1.903556544,-1.050415312,-0.365517435,-0.809580427,125
